Display clients list,25:07.7
Display employees list,25:08.4
Display the products sold today,25:10.1
Display the contents of the client's basket,25:16.8
Display clients list,32:25.2
Display the contents of the client's basket,55:32.9
Display the contents of the client's basket,56:12.8
Display the contents of the client's basket,57:42.5
Exited the program succesfully,59:00.7
Display clients list,22:06.6
Add a client,22:29.8
Display clients list,22:42.7
Display employees list,22:48.4
Add an employee,22:55.6
Display employees list,23:18.8
Display clients list,23:24.5
Display employees list,23:28.5
Display clients list,25:14.2
Add a client,25:17.6
Display clients list,25:28.9
Display clients list,26:11.3
Add a client,26:33.5
Add an employee,26:43.1
Display clients list,26:54.7
Display employees list,26:55.6
Add a client,29:44.9
Add an employee,29:59.0
Display clients list,30:25.6
Display employees list,30:28.9
Wrong number,30:32.6
Display clients list,30:40.3
Display employees list,30:42.6
Display the contents of the client's basket,33:48.2
Bought a toy,33:51.0
Display the contents of the client's basket,34:55.7
Display the products sold today,34:58.0
Display the contents of the client's basket,35:12.3
Bought a piece of clothing,41:04.9
Display the contents of the client's basket,43:02.7
Display the contents of the client's basket,43:54.6
Bought jewlery,44:06.8
Display the contents of the client's basket,44:41.3
Bought an animal,44:49.3
Display the contents of the client's basket,44:57.3
Bought a toy,46:48.7
Bought a toy,46:59.1
Bought a toy,48:09.8
Display the contents of the client's basket,48:36.4
Display the contents of the client's basket,48:52.1
Bought food,52:44.0
Display the contents of the client's basket,53:12.9
Display the contents of the client's basket,53:22.6
Display clients list,53:07.7
Display employees list,53:09.8
Add a client,53:12.6
Display clients list,02:52.7
Add a client,02:59.5
Add a client,19:13.5
Add a client,23:42.6
Display clients list,24:38.4
Display clients list,24:43.4
Add a client,24:46.0
Add a client,25:28.9
Add a client,25:38.9
Add a client,26:05.1
Add a client,26:48.8
Add a client,27:12.8
Wrong number,27:35.6
Add a client,27:39.1
Add a client,28:19.0
Add a client,29:12.8
Display clients list,30:01.7
Add a client,30:04.6
Add a client,31:04.7
Add a client,31:15.7
Bought a toy,31:41.6
Bought a toy,32:47.6
Add a client,36:40.7
Display clients list,36:58.8
Display clients list,37:13.2
Bought an electronic,45:55.6
Display the contents of the client's basket,46:32.3
Display clients list,20:16.6
Add a client,20:25.4
Display clients list,20:49.8
Display employees list,20:59.2
Add an employee,21:13.0
Display employees list,21:55.0
Display the contents of the client's basket,22:06.2
Bought an animal,22:44.5
Display the contents of the client's basket,23:15.6
Display clients list,2020-04-19 23:40:29.543
Display employees list,2020-04-19 23:40:30.63
Sort employee list,2020-04-19 23:40:50.151
Display employees list,2020-04-19 23:40:52.805
Bought an electronic,2020-04-19 23:41:06.478
Bought food,2020-04-19 23:41:31.546
Display the contents of the client's basket,2020-04-19 23:44:23.45
Bought food,2020-04-19 23:44:36.2
Display the contents of the client's basket,2020-04-19 23:44:57.41
Display the contents of the client's basket,2020-04-19 23:48:17.431
Display the contents of the client's basket,2020-04-19 23:48:49.424
Bought food,2020-04-19 23:49:03.84
Display the contents of the client's basket,2020-04-19 23:49:18.666
